Country,disaster,disaster_count,color_intensity
Russia,Hydrological,55,55
France,Meteorological,51,51
Romania,Hydrological,44,44
France,Hydrological,43,43
Italy,Hydrological,36,36
Germany,Meteorological,34,34
United Kingdom,Hydrological,28,28
United Kingdom,Meteorological,27,27
Spain,Hydrological,24,24
Italy,Meteorological,24,24
Bulgaria,Hydrological,24,24
Poland,Meteorological,22,22
Greece,Hydrological,22,22
Bosnia and Herz.,Hydrological,21,21
Serbia,Hydrological,20,20
Poland,Meteorological,19,19
France,Meteorological,19,19
Switzerland,Meteorological,19,19
Spain,Meteorological,19,19
Russia,Climatological,19,19
Romania,Meteorological,18,18
Russia,Meteorological,18,18
Belgium,Meteorological,16,16
Belgium,Meteorological,15,15
Germany,Meteorological,15,15
Czech Rep.,Hydrological,14,14
Croatia,Hydrological,14,14
Netherlands,Meteorological,14,14
United Kingdom,Meteorological,13,13
Italy,Meteorological,13,13
Portugal,Climatological,13,13
Czech Rep.,Meteorological,12,12
Germany,Hydrological,12,12
Ukraine,Hydrological,12,12
Italy,Geophysical,12,12
Austria,Meteorological,12,12
Spain,Climatological,12,12
Albania,Hydrological,12,12
Russia,Meteorological,12,12
Ireland,Meteorological,11,11
Greece,Climatological,11,11
Greece,Geophysical,11,11
Hungary,Hydrological,11,11
Serbia,Meteorological,11,11
Bulgaria,Meteorological,11,11
Slovakia,Hydrological,11,11
Netherlands,Meteorological,11,11
Macedonia,Hydrological,10,10
Austria,Hydrological,10,10
Romania,Meteorological,10,10
Poland,Hydrological,10,10
Portugal,Meteorological,9,9
Austria,Meteorological,9,9
Belgium,Hydrological,9,9
Czech Rep.,Meteorological,9,9
Spain,Meteorological,9,9
Hungary,Meteorological,9,9
Ukraine,Meteorological,8,8
Switzerland,Meteorological,8,8
Slovakia,Meteorological,8,8
Greece,Meteorological,8,8
Ukraine,Meteorological,8,8
Lithuania,Meteorological,8,8
Portugal,Meteorological,8,8
Croatia,Meteorological,8,8
Greece,Meteorological,7,7
Denmark,Meteorological,7,7
Latvia,Meteorological,7,7
Russia,Geophysical,7,7
Portugal,Hydrological,6,6
Macedonia,Meteorological,6,6
Slovenia,Hydrological,6,6
Albania,Meteorological,6,6
Estonia,Meteorological,6,6
France,Climatological,6,6
Belarus,Meteorological,6,6
Sweden,Meteorological,5,5
Bulgaria,Climatological,5,5
Slovakia,Meteorological,5,5
Slovenia,Meteorological,5,5
Slovenia,Meteorological,5,5
Russia,Hydrological,5,5
Russia,Biological,5,5
Hungary,Meteorological,5,5
Italy,Climatological,5,5
Croatia,Climatological,5,5
Ireland,Hydrological,5,5
Bosnia and Herz.,Meteorological,4,4
Bulgaria,Meteorological,4,4
Switzerland,Hydrological,4,4
Switzerland,Hydrological,4,4
Norway,Hydrological,4,4
Albania,Geophysical,4,4
Norway,Meteorological,4,4
Luxembourg,Meteorological,4,4
Albania,Meteorological,4,4
Sweden,Meteorological,4,4
Montenegro,Meteorological,4,4
Italy,Hydrological,4,4
Moldova,Hydrological,4,4
Montenegro,Hydrological,4,4
Finland,Meteorological,3,3
Russia,Climatological,3,3
Denmark,Meteorological,3,3
Estonia,Meteorological,3,3
Macedonia,Climatological,3,3
Norway,Meteorological,3,3
Italy,Climatological,3,3
Iceland,Geophysical,3,3
Moldova,Meteorological,3,3
Croatia,Meteorological,3,3
Ireland,Meteorological,3,3
Moldova,Climatological,3,3
Ukraine,Climatological,2,2
Norway,Hydrological,2,2
Austria,Hydrological,2,2
Bosnia and Herz.,Meteorological,2,2
Belarus,Hydrological,2,2
Serbia,Meteorological,2,2
Bosnia and Herz.,Biological,2,2
Bosnia and Herz.,Climatological,2,2
Portugal,Climatological,2,2
Bulgaria,Geophysical,2,2
Malta,Meteorological,2,2
Italy,Geophysical,2,2
Lithuania,Climatological,2,2
Lithuania,Hydrological,2,2
Luxembourg,Meteorological,2,2
Latvia,Meteorological,2,2
Moldova,Meteorological,2,2
France,Geophysical,2,2
Croatia,Geophysical,2,2
Bulgaria,Climatological,1,1
Italy,Biological,1,1
Ireland,Biological,1,1
Albania,Climatological,1,1
United Kingdom,Geophysical,1,1
Hungary,Climatological,1,1
Liechtenstein,Meteorological,1,1
United Kingdom,Biological,1,1
Bosnia and Herz.,Hydrological,1,1
Albania,Biological,1,1
Bosnia and Herz.,Geophysical,1,1
Croatia,Climatological,1,1
Ukraine,Climatological,1,1
Iceland,Meteorological,1,1
Iceland,Geophysical,1,1
Italy,Climatological,1,1
Netherlands,Hydrological,1,1
Latvia,Biological,1,1
United Kingdom,Climatological,1,1
Poland,Climatological,1,1
Germany,Geophysical,1,1
Germany,Biological,1,1
France,Climatological,1,1
Serbia,Geophysical,1,1
Sweden,Climatological,1,1
Sweden,Hydrological,1,1
Sweden,Biological,1,1
Lithuania,Meteorological,1,1
Slovenia,Geophysical,1,1
Slovakia,Climatological,1,1
Luxembourg,Hydrological,1,1
Latvia,Hydrological,1,1
Belarus,Meteorological,1,1
Latvia,Climatological,1,1
Russia,Biological,1,1
Russia,Extra-terrestrial,1,1
Switzerland,Climatological,1,1
Switzerland,Geophysical,1,1
Spain,Biological,1,1
Romania,Climatological,1,1
Spain,Geophysical,1,1
Spain,Climatological,1,1
Montenegro,Climatological,1,1
Macedonia,Meteorological,1,1
Finland,Hydrological,1,1
Macedonia,Geophysical,1,1
Macedonia,Biological,1,1
Hungary,Geophysical,1,1
