Country,disaster,disaster_count,color_intensity
United States,Meteorological,380,380
China,Hydrological,224,224
China,Meteorological,218,218
Indonesia,Hydrological,215,215
Philippines,Meteorological,208,208
India,Hydrological,205,205
United States,Hydrological,123,123
Brazil,Hydrological,117,117
China,Geophysical,114,114
Philippines,Hydrological,109,109
India,Meteorological,107,107
Vietnam,Meteorological,102,102
Japan,Meteorological,94,94
Afghanistan,Hydrological,91,91
Pakistan,Hydrological,90,90
Vietnam,Hydrological,85,85
United States,Climatological,84,84
Indonesia,Geophysical,82,82
Mexico,Meteorological,82,82
Colombia,Hydrological,77,77
Thailand,Hydrological,76,76
Bangladesh,Meteorological,72,72
Malaysia,Hydrological,68,68
Dem. Rep. Congo,Biological,65,65
China,Hydrological,62,62
Indonesia,Hydrological,60,60
Taiwan,Meteorological,58,58
Iran,Geophysical,55,55
Russia,Hydrological,55,55
Nigeria,Hydrological,55,55
Kenya,Hydrological,55,55
Peru,Hydrological,53,53
Sri Lanka,Hydrological,53,53
Madagascar,Meteorological,52,52
France,Meteorological,51,51
Mexico,Hydrological,50,50
Australia,Hydrological,49,49
Haiti,Hydrological,49,49
Australia,Meteorological,48,48
Nigeria,Biological,48,48
Iran,Hydrological,46,46
Bangladesh,Hydrological,46,46
Dem. Rep. Congo,Hydrological,45,45
Bolivia,Hydrological,45,45
Angola,Hydrological,44,44
Romania,Hydrological,44,44
Argentina,Hydrological,43,43
France,Hydrological,43,43
South Africa,Hydrological,41,41
Somalia,Hydrological,41,41
Tanzania,Hydrological,39,39
Nepal,Hydrological,38,38
Ethiopia,Hydrological,38,38
Yemen,Hydrological,37,37
Thailand,Meteorological,37,37
Italy,Hydrological,36,36
Uganda,Hydrological,36,36
Malawi,Hydrological,35,35
India,Meteorological,35,35
Haiti,Meteorological,34,34
Cuba,Meteorological,34,34
Germany,Meteorological,34,34
Turkey,Geophysical,33,33
Algeria,Hydrological,33,33
Indonesia,Geophysical,33,33
India,Hydrological,33,33
Mozambique,Hydrological,33,33
Canada,Hydrological,33,33
