ISO,Country Name,Region,Disaster Type,Disaster Subgroup,Disaster_Count
USA,United States,North America,Storm,Meteorological,380
CHN,China,Asia,Flood,Hydrological,224
CHN,China,Asia,Storm,Meteorological,218
IDN,Indonesia,Asia,Flood,Hydrological,215
PHL,Philippines,Asia,Storm,Meteorological,208
IND,India,Asia,Flood,Hydrological,205
USA,United States,North America,Flood,Hydrological,123
BRA,Brazil,South America,Flood,Hydrological,117
CHN,China,Asia,Earthquake,Geophysical,114
PHL,Philippines,Asia,Flood,Hydrological,109
IND,India,Asia,Storm,Meteorological,107
VNM,Vietnam,Asia,Storm,Meteorological,102
JPN,Japan,Asia,Storm,Meteorological,94
AFG,Afghanistan,Asia,Flood,Hydrological,91
PAK,Pakistan,Asia,Flood,Hydrological,90
VNM,Vietnam,Asia,Flood,Hydrological,85
USA,United States,North America,Wildfire,Climatological,84
IDN,Indonesia,Asia,Earthquake,Geophysical,82
MEX,Mexico,South America,Storm,Meteorological,82
COL,Colombia,South America,Flood,Hydrological,77
THA,Thailand,Asia,Flood,Hydrological,76
BGD,Bangladesh,Asia,Storm,Meteorological,72
MYS,Malaysia,Asia,Flood,Hydrological,68
COD,Dem. Rep. Congo,Africa,Epidemic,Biological,65
CHN,China,Asia,Mass Movement,Hydrological,62
IDN,Indonesia,Asia,Mass Movement,Hydrological,60
TWN,Taiwan,Asia,Storm,Meteorological,58
IRN,Iran,Asia,Earthquake,Geophysical,55
RUS,Russia,Europe,Flood,Hydrological,55
NGA,Nigeria,Africa,Flood,Hydrological,55
KEN,Kenya,Africa,Flood,Hydrological,55
PER,Peru,South America,Flood,Hydrological,53
LKA,Sri Lanka,Asia,Flood,Hydrological,53
MDG,Madagascar,Africa,Storm,Meteorological,52
FRA,France,Europe,Storm,Meteorological,51
MEX,Mexico,South America,Flood,Hydrological,50
AUS,Australia,Oceania,Flood,Hydrological,49
HTI,Haiti,South America,Flood,Hydrological,49
AUS,Australia,Oceania,Storm,Meteorological,48
NGA,Nigeria,Africa,Epidemic,Biological,48
IRN,Iran,Asia,Flood,Hydrological,46
BGD,Bangladesh,Asia,Flood,Hydrological,46
COD,Dem. Rep. Congo,Africa,Flood,Hydrological,45
BOL,Bolivia,South America,Flood,Hydrological,45
AGO,Angola,Africa,Flood,Hydrological,44
ROU,Romania,Europe,Flood,Hydrological,44
ARG,Argentina,South America,Flood,Hydrological,43
FRA,France,Europe,Flood,Hydrological,43
ZAF,South Africa,Africa,Flood,Hydrological,41
SOM,Somalia,Africa,Flood,Hydrological,41
TZA,Tanzania,Africa,Flood,Hydrological,39
NPL,Nepal,Asia,Flood,Hydrological,38
ETH,Ethiopia,Africa,Flood,Hydrological,38
YEM,Yemen,Asia,Flood,Hydrological,37
THA,Thailand,Asia,Storm,Meteorological,37
ITA,Italy,Europe,Flood,Hydrological,36
UGA,Uganda,Africa,Flood,Hydrological,36
MWI,Malawi,Africa,Flood,Hydrological,35
IND,India,Asia,Extreme Temperature,Meteorological,35
HTI,Haiti,South America,Storm,Meteorological,34
CUB,Cuba,South America,Storm,Meteorological,34
DEU,Germany,Europe,Storm,Meteorological,34
TUR,Turkey,Asia,Earthquake,Geophysical,33
DZA,Algeria,Africa,Flood,Hydrological,33
IDN,Indonesia,Asia,Volcanic Activity,Geophysical,33
IND,India,Asia,Mass Movement,Hydrological,33
MOZ,Mozambique,Africa,Flood,Hydrological,33
CAN,Canada,North America,Flood,Hydrological,33
BDI,Burundi,Africa,Flood,Hydrological,32
KOR,South Korea,Asia,Storm,Meteorological,32
DOM,Dominican Rep.,South America,Storm,Meteorological,32
JPN,Japan,Asia,Earthquake,Geophysical,31
TUR,Turkey,Asia,Flood,Hydrological,31
VEN,Venezuela,South America,Flood,Hydrological,31
MMR,Myanmar,Asia,Flood,Hydrological,30
GTM,Guatemala,South America,Flood,Hydrological,30
NER,Niger,Africa,Epidemic,Biological,30
NER,Niger,Africa,Flood,Hydrological,29
ECU,Ecuador,South America,Flood,Hydrological,29
PAN,Panama,South America,Flood,Hydrological,29
CAN,Canada,North America,Storm,Meteorological,28
JPN,Japan,Asia,Flood,Hydrological,28
SDN,Sudan,Africa,Flood,Hydrological,28
GBR,United Kingdom,Europe,Flood,Hydrological,28
TJK,Tajikistan,Asia,Flood,Hydrological,28
SDN,Sudan,Africa,Epidemic,Biological,27
CHN,China,Asia,Drought,Climatological,27
GBR,United Kingdom,Europe,Storm,Meteorological,27
RWA,Rwanda,Africa,Flood,Hydrological,27
UGA,Uganda,Africa,Epidemic,Biological,27
KEN,Kenya,Africa,Epidemic,Biological,27
PHL,Philippines,Asia,Earthquake,Geophysical,27
MOZ,Mozambique,Africa,Storm,Meteorological,26
DOM,Dominican Rep.,South America,Flood,Hydrological,26
CHL,Chile,South America,Flood,Hydrological,26
IND,India,Asia,Epidemic,Biological,25
AUS,Australia,Oceania,Wildfire,Climatological,25
ZAF,South Africa,Africa,Storm,Meteorological,25
GHA,Ghana,Africa,Flood,Hydrological,25
COL,Colombia,South America,Mass Movement,Hydrological,25
ESP,Spain,Europe,Flood,Hydrological,24
ITA,Italy,Europe,Storm,Meteorological,24
BGR,Bulgaria,Europe,Flood,Hydrological,24
MLI,Mali,Africa,Flood,Hydrological,23
HND,Honduras,South America,Flood,Hydrological,23
ETH,Ethiopia,Africa,Epidemic,Biological,23
AFG,Afghanistan,Asia,Mass Movement,Hydrological,23
